HS 2002 Product Code,HS 2002 Product Description,SITC Revision 4 Product Code,SITC Revision 4 Product Description
760691,"Of aluminium, not alloyed",68423,"Aluminium plates, sheets & strip, of a thickness exceeding 0.2 mm"
760692,Of aluminium alloys,68423,"Aluminium plates, sheets & strip, of a thickness exceeding 0.2 mm"
760711,Rolled but not further worked,68424,"Aluminium foil (whether/not printed/backed with paper, paperboard, plastics/similar backing materials) of a thickness (excluding any backing) not > 0.2 mm"
760719,Other,68424,"Aluminium foil (whether/not printed/backed with paper, paperboard, plastics/similar backing materials) of a thickness (excluding any backing) not > 0.2 mm"
760720,Backed,68424,"Aluminium foil (whether/not printed/backed with paper, paperboard, plastics/similar backing materials) of a thickness (excluding any backing) not > 0.2 mm"
760810,"Of aluminium, not alloyed",68426,Aluminium tubes & pipes
760820,Of aluminium alloys,68426,Aluminium tubes & pipes
760900,"Aluminium tube or pipe fittings (for example, couplings, elbows, sleeves).",68427,"Aluminium tube & pipe fittings (e.g., couplings, elbows, sleeves)"
761010,"Doors, windows and their frames and thresholds for doors",69121,"Doors, windows & their frames & thresholds for doors, of aluminium"
761090,Other,69129,"Aluminium structures & parts of structures, n.e.s.; aluminium plates, fods, profiles, tubes & the like, prepared for use in structures"
761100,"Aluminium reservoirs, tanks, vats and similar containers, for any material (other than compressed or liquefied gas), of a capacity exceeding 300 l, whether or not lined or heatinsulated, but not fitted with mechanical or thermal equipment.",69212,"Reservoirs, tanks, vats & similar containers, for any material (other than compressed/liquefied gas), of aluminium"
761210,Collapsible tubular containers,69242,"Aluminium casks, drums, cans, boxes & similar containers (including rigid/collapsible tubular containers), for any material (other than compressed/liquefied gas), of a capacity not > 300 litres, whether/not lined/heat-insulated, but "
761290,Other,69242,"Aluminium casks, drums, cans, boxes & similar containers (including rigid/collapsible tubular containers), for any material (other than compressed/liquefied gas), of a capacity not > 300 litres, whether/not lined/heat-insulated, but "
761300,Aluminium containers for compressed or liquefied gas.,69244,Containers of aluminium for compressed/liquefied gas
761410,With steel core,69313,"Stranded wire, ropes, cables, plaited bands, slings & the like, of  aluminium, not electrically insulated"
761490,Other,69313,"Stranded wire, ropes, cables, plaited bands, slings & the like, of  aluminium, not electrically insulated"
761511,"Pot scourers and scouring or polishing pads, gloves and the  like",69743,"Household articles & parts thereof, n.e.s., of aluminium; pot scourers & scouring/polishing pads, gloves & the like, of aluminium"
761519,Other,69743,"Household articles & parts thereof, n.e.s., of aluminium; pot scourers & scouring/polishing pads, gloves & the like, of aluminium"
761520,Sanitary ware and parts thereof,69753,"Sanitary ware & parts thereof, n.e.s., of aluminium"
761610,"Nails, tacks, staples (other than those of heading 83.05), screws, bolts, nuts, screw hooks, rivets, cotters, cotterpins, washers and similar articles",6944,"Nails, tacks, staples (other than those of heading 895.12), screws, bolts, nuts, screw hooks, rivets, cotters, cotter pins, washers & similar articles of aluminium"
761691,"Cloth, grill, netting and fencing, of aluminium wire",69979,"Articles of aluminium, n.e.s."
761699,Other,69979,"Articles of aluminium, n.e.s."
780110,Refined lead,68512,Refined lead
780191,Containing by weight antimony as the principal other element,68511,Unrefined lead & lead alloys
780199,Other,68511,Unrefined lead & lead alloys
780200,Lead waste and scrap.,28824,Lead waste & scrap
780300,"Lead bars, rods, profiles and wire.",69976,"Articles of lead, n.e.s."
780411,"Sheets, strip and foil of a thickness (excluding any backing) not exceeding 0.2 mm",6852,"Lead plates, sheets, strip & foil; lead powders & flakes"
780419,Other,6852,"Lead plates, sheets, strip & foil; lead powders & flakes"
780420,Powders and flakes,6852,"Lead plates, sheets, strip & foil; lead powders & flakes"
780500,"Lead tubes, pipes and tube or pipe fittings (for example, couplings, elbows, sleeves).",69976,"Articles of lead, n.e.s."
780600,Other articles of lead.,69976,"Articles of lead, n.e.s."
790111,Containing by weight 99.99 % or more of zinc,68611,"Zinc, not alloyed"
