HS - Combined  Product Code,HS - Combined  Product Description,SITC Revision 3 Product Code,SITC Revision 3 Product Description
293810,Rutoside (rutin) and its derivatives,54161,Glycosides and derivativ
293890,Other,54161,Glycosides and derivativ
293910,(-2001) Alkaloids of opium and their derivatives; salts th,54141,Opium alkaoids/derivs
293911,"(2002-) Concentrates of poppy straw; buprenorphine (INN), codeine, dihydrocodeine (INN), ethylmorphine, etorphine (INN), heroin, hydrocodone (INN), hydromorphone (INN), morphine, nicomorphine (INN), oxycodone (INN), oxymorphone (INN), pholcodine (INN), th",54141,Opium alkaoids/derivs
293919,(2002-) Other,54141,Opium alkaoids/derivs
293921,(-2006) Quinine and its salts,54142,Cinchona alkaloids/deriv
293929,(-2006) Other,54142,Cinchona alkaloids/deriv
293930,Caffeine and its salts,54143,Caffeine and its salts
293940,(-1995) Ephedrines and their salts,54144,Ephedrines/salts
293941,(1996-) Ephedrine and its salts,54144,Ephedrines/salts
293942,(1996-) Pseudoephedrine (INN) and its salts,54144,Ephedrines/salts
293943,(2002-) Cathine (INN) and its salts,54144,Ephedrines/salts
293949,(1996-) Other,54144,Ephedrines/salts
293950,(-2001) Theophylline and aminophylline (theophylline- ethy,54145,Theophylline etc/derivs
293951,(2002-) Fenetylline (INN) and its salts,54145,Theophylline etc/derivs
293959,(2002-) Other,54145,Theophylline etc/derivs
293960,(-1995) Alkaloids of rye ergot and their derivativ,54146,Rye ergot alkaloids/driv
293961,(1996-) Ergometrine (INN) and its salts,54146,Rye ergot alkaloids/driv
293962,(1996-) Ergotamine (INN) and its salts,54146,Rye ergot alkaloids/driv
293963,(1996-) Lysergic acid and its salts,54146,Rye ergot alkaloids/driv
293969,(1996-) Other,54146,Rye ergot alkaloids/driv
293970,(-2001) Nicotine and its salts,54147,Nicotine and its salts
293990,(-2001) Other,54149,Veg alkaloids nes/salts
293991,"(2002-) Cocaine, ecgonine, levometamfetamine, metamfetamine (INN), metamfetamine racemate; salts, esters and other derivatives thereof",54149,Veg alkaloids nes/salts
293999,(2002-) Other,54147,Nicotine and its salts
294000,"Sugars, chemically pure, other than sucrose, lactose, maltose, glucose and fructose; sugar ethers, sugar acetals and sugar esters, and their salts, other than products of heading 29.37, 29.38 or 29.39.",51692,"Sugars,chem pure etc,nes"
294110,Penicillins and their derivatives with a penicillanic acid structure; salts thereof,54131,Penicillins and derivs
294120,Streptomycins and their derivatives; salts thereof,54132,Streptomycins and derivs
294130,Tetracyclines and their derivatives; salts thereof,54133,Tetracyclines and derivs
294140,Chloramphenicol and its derivatives; salts thereof,54139,Other antibiotics(bulk)
294150,Erythromycin and its derivatives; salts thereof,54139,Other antibiotics(bulk)
294190,Other,54139,Other antibiotics(bulk)
294200,Other organic compounds.,51699,Other organic compounds
300110,"(-2006) Glands and other organs, dried, whether or not powdered",54162,Glands etc and extracts
300120,Extracts of glands or other organs or of their secretions,54162,Glands etc and extracts
300190,Other,54162,Glands etc and extracts
300210,"Antisera and other blood fractions and modified immunological products, whether or not obtained by means of biotechnological processes",54163,Antisera/bld fra/vaccine
300220,Vaccines for human medicine,54163,Antisera/bld fra/vaccine
300230,(1996-) Vaccines for veterinary medicine,54163,Antisera/bld fra/vaccine
300231,(-1995) Vaccines against foot-and-mouth disease,54163,Antisera/bld fra/vaccine
300239,(-1995) Other vaccines for veterinary medicine (ex,54163,Antisera/bld fra/vaccine
300290,Other,54164,Blood/toxin/cultures etc
300310,"Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",54211,Penicillin non-retail
300320,Containing other antibiotics,54212,Antibiotic nes nonretail
300331,Containing insulin,54221,"Insulin formulated,bulk"
300339,Other,54222,Other hormone non-retail
300340,Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,54231,"Alkaloids, non-retail"
300390,Other,54291,Medicaments nes non-ret.
300410,"Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",54213,Penicillin/strept retail
300420,Containing other antibiotics,54219,Antibiotics nes retail
300431,Containing insulin,54223,Insulin retail packs
300432,"Containing corticosteroid hormones, their derivatives and  structural analogues",54224,"Hormone-ach, retail pack"
300439,Other,54229,Hormones nes retail pack
300440,"Containing alkaloids or derivatives thereof but not containing hormones, other products of heading 29.37 or antibiotics",54232,"Alkaloids, retail packs"
300450,Other medicaments containing vitamins or other products of heading 29.36,54292,Vitamin/provitam. retail
300490,Other,54293,Medicam nes retail packs
300510,Adhesive dressings and other articles having an adhesive layer,54191,Bandages/plasters/gauze
300590,Other,54191,Bandages/plasters/gauze
300610,"Sterile surgical catgut, similar sterile suture materials and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics",54199,Oth pharmaceutical goods
