HS 1988/92 Product Code,HS 1988/92 Product Description,SITC Revision 1 Product Code,SITC Revision 1 Product Description
320890,"Paints and varnishes, in a non-aqueous medium,",53332,"Varnishes, lacquers, distempers, water pigments"
320910,"Paints... based on acrylic or vinyl polymers, i",53332,"Varnishes, lacquers, distempers, water pigments"
320990,"Paints and varnishes, in an aqueous medium, nes",53332,"Varnishes, lacquers, distempers, water pigments"
321000,Other paints and varnishes (incl. enamels...)..,53332,"Varnishes, lacquers, distempers, water pigments"
321100,Prepared driers,53334,Prepared driers
321210,Stamping foils,53332,"Varnishes, lacquers, distempers, water pigments"
321290,"Pigments in non-aqueous media, nes, for retail",53332,"Varnishes, lacquers, distempers, water pigments"
321310,Colours in sets,53333,"Artists"" colours"
321390,"Artists', students' or signboard painters' colo",53333,"Artists"" colours"
321410,Mastics and painters fillings,53335,"Putty, painters fillings, etc"
321490,"Glaziers putty, etc, non-refractory surfacing p",53335,"Putty, painters fillings, etc"
321511,"Black printing ink, whether or not concentrated",5332,Printing inks
321519,"Printing ink, whether or not concentrated or so",5332,Printing inks
321590,"Other ink, whether or not concentrated or solid",89591,"Inks, other than printing inks"
330111,Essential oils of bergamot (incl. concretes and,5511,Essential oils and resinoids
330112,Essential oils of orange (incl. concretes and a,5511,Essential oils and resinoids
330113,Essential oils of lemon (incl. concretes and ab,5511,Essential oils and resinoids
330114,Essential oils of lime (incl. concretes and abs,5511,Essential oils and resinoids
330119,Essential oils of citrus fruit (incl. concretes,5511,Essential oils and resinoids
330121,Essential oils of geranium (incl. concretes and,5511,Essential oils and resinoids
330122,Essential oils of jasmin (incl. concretes and a,5511,Essential oils and resinoids
330123,Essential oils of lavender or lavandin (incl. c,5511,Essential oils and resinoids
330124,Essential oils of peppermint (incl. concretes a,5511,Essential oils and resinoids
330125,Essential oils of mints (incl. concretes and ab,5511,Essential oils and resinoids
330126,Essential oils of vetiver (incl. concretes and,5511,Essential oils and resinoids
330129,"Essential oils (incl. concretes and absolutes),",5511,Essential oils and resinoids
330130,Resinoids,5511,Essential oils and resinoids
330190,Concentrates of essential oils in fats... aqueo,5511,Essential oils and resinoids
330210,"Mixtures of odoriferous substances, for the foo",55123,Mixt. of odoriferous substances used as raw.mat.
330290,"Mixtures of odoriferous substances, as raw mate",55123,Mixt. of odoriferous substances used as raw.mat.
330300,Perfumes and toilet waters,5530,"Perfumery & cosmetics, dentifrices etc."
330410,Lip make-up preparations,5530,"Perfumery & cosmetics, dentifrices etc."
330420,Eye make-up preparations,5530,"Perfumery & cosmetics, dentifrices etc."
330430,Manicure or pedicure preparations,5530,"Perfumery & cosmetics, dentifrices etc."
330491,"Powders, whether or not compressed, for cosmeti",5530,"Perfumery & cosmetics, dentifrices etc."
330499,"Beauty, make-up, skin-care (incl. suntan), nes",5530,"Perfumery & cosmetics, dentifrices etc."
330510,Shampoos,5530,"Perfumery & cosmetics, dentifrices etc."
330520,Preparations for permanent waving or straighten,5530,"Perfumery & cosmetics, dentifrices etc."
330530,Hair lacquers,5530,"Perfumery & cosmetics, dentifrices etc."
330590,"Preparations for use on the hair, nes",5530,"Perfumery & cosmetics, dentifrices etc."
330610,Dentifrices,5530,"Perfumery & cosmetics, dentifrices etc."
330690,Preparations for oral or dental hygiene (incl.,5530,"Perfumery & cosmetics, dentifrices etc."
330710,"Pre-shave, shaving or after-shave preparations",5530,"Perfumery & cosmetics, dentifrices etc."
330720,Personal deodorants and antiperspirants,5530,"Perfumery & cosmetics, dentifrices etc."
330730,Perfumed bath salts and other bath preparations,5530,"Perfumery & cosmetics, dentifrices etc."
330741,Agarbatti and other odiferous preparations whic,5530,"Perfumery & cosmetics, dentifrices etc."
330749,"Preparations for deodorizing rooms, nes",5530,"Perfumery & cosmetics, dentifrices etc."
330790,"Other perfumery, cosmetic or toilet preparation",5530,"Perfumery & cosmetics, dentifrices etc."
340111,Soap and organic surface-active products in bar,5541,Soaps
340119,Soap and organic surface-active products in bar,5541,Soaps
340120,"Soap in other forms, nes",5541,Soaps
340211,"Anionic surface-active agents, (excl. soap)",5542,Surface acting agents and washing preparations
340212,"Cationic surface-active agents, (excl. soap)",5542,Surface acting agents and washing preparations
340213,"Non-ionic surface-active agents, (excl. soap)",5542,Surface acting agents and washing preparations
340219,"Organic surface-active agents, (excl. soap), ne",5542,Surface acting agents and washing preparations
340220,"Washing and cleaning preparations, put up for r",5542,Surface acting agents and washing preparations
340290,"Washing and cleaning preparations, not put up f",5542,Surface acting agents and washing preparations
340311,Lubricat.prep.for the treatment of textile mat.,33252,Lubricating prep. cont.<70% by weight of petr.
340319,"Other lubricating preparations, with <70% petro",33252,Lubricating prep. cont.<70% by weight of petr.
340391,Lubricating prep.for the treatment of textiles,33252,Lubricating prep. cont.<70% by weight of petr.
340399,"Other lubricating preparations, nes",33252,Lubricating prep. cont.<70% by weight of petr.
340410,Artificial waxes of chemically modified lignite,59971,Artificial waxes & prep.wax. not emulsified
340420,Artificial waxes of polyethylene glycol,59971,Artificial waxes & prep.wax. not emulsified
340490,"Artificial waxes and prepared waxes, nes",59971,Artificial waxes & prep.wax. not emulsified
340510,"Polishes, creams and similar preparations for f",5543,"Polishes, pastes, powder for polishing/preserving"
340520,"Polishes, creams and similar preparations for m",5543,"Polishes, pastes, powder for polishing/preserving"
340530,Polishes and similar preparations for coachwork,5543,"Polishes, pastes, powder for polishing/preserving"
340540,Scouring pastes and powders and other scouring,5543,"Polishes, pastes, powder for polishing/preserving"
340590,"Other polishes, creams and similar preparations",5543,"Polishes, pastes, powder for polishing/preserving"
340600,"Candles, tapers and the like",89931,"Candles, tapers, etc."
340700,Modelling pastes; dental wax and impression com,59991,Modelling pastes & dental impression compounds
350110,Casein,59953,"Casein, caseinates & cas. derivatives, cas. glues"
350190,Caseinates and other casein derivatives; casein,59953,"Casein, caseinates & cas. derivatives, cas. glues"
350210,Egg albumin,59954,"Albumins, albuminates & albumin derivatives"
350290,"Albumins (excl. egg albumin), albuminates and o",59954,"Albumins, albuminates & albumin derivatives"
350300,Gelatin and derivatives; isinglass; glues of an,59955,"Gelatin and gelatine derivatives, etc."
350400,"Peptones/protein substances and derivatives, ne",59956,Peptones & protein substances & their deriva.
350510,Dextrins and other modified starches,59957,"Dextrin, soluble or roasted starches and glues"
350520,"Glues based on starches, dextrins or other modi",59957,"Dextrin, soluble or roasted starches and glues"
350610,Products put up as glues or adhesives for retai,59959,Prepared glues
350691,Adhesives based on rubber or plastic (incl. art,59959,Prepared glues
350699,"Prepared glues and other prepared adhesives, ne",59959,Prepared glues
350710,Rennet and concentrates thereof,51291,Enzymes
350790,Enzymes; prepared enzymes (not elsewhere specif,51291,Enzymes
360100,Propellent powders,57111,Propellant powders
360200,"Prepared explosives, (excl. propellent powders)",57112,Other prepared explosives
360300,Safety fuses; detonating fuses; caps; igniters;,57121,"Mining, blasting and safety fuses"
360410,Fireworks,5713,Pyrotechnical articles
360490,Signalling flares... and other pyrotechnic arti,5713,Pyrotechnical articles
360500,Matches (excl. pyrotechnic articles of 36.04),89932,Matches (excluding Bengal matches)
360610,"Liquid or liquefied-gas fuels in containers, fo",89933,"Combustible preparations and products, n.e.s."
360690,"Ferro-cerium, pyrophoric alloys; articles of co",89933,"Combustible preparations and products, n.e.s."
370110,"Photographic plates... for X-ray, in the flat,",86241,Photographic plates/films in the flat unexposed
370120,"Instant print flat film, unexposed",86241,Photographic plates/films in the flat unexposed
370130,"Plates and film, in the flat with any side >255",86241,Photographic plates/films in the flat unexposed
370191,"Photographic plates..., in the flat for colour",86241,Photographic plates/films in the flat unexposed
370199,"Photographic plates and film, in the flat (excl",86241,Photographic plates/films in the flat unexposed
370210,"Photographic film in rolls, for X-ray, unexpose",86242,"Films in rolls, sensitized, unexposed"
370220,"Instant print film in rolls, unexposed",86242,"Films in rolls, sensitized, unexposed"
370231,"Polychrome film, in rolls, non-perforated, of w",86242,"Films in rolls, sensitized, unexposed"
370232,"Film, in rolls, non-perforated, with silver...",86242,"Films in rolls, sensitized, unexposed"
370239,"Film, in rolls, non-perforated, of width =<105m",86242,"Films in rolls, sensitized, unexposed"
370241,"Polychrome film, in rolls, non-perforated, widt",86242,"Films in rolls, sensitized, unexposed"
370242,"Film, in rolls, non-perforated, width >610mm le",86242,"Films in rolls, sensitized, unexposed"
370243,"Film, in rolls, non-perforated, width >610mm an",86242,"Films in rolls, sensitized, unexposed"
370244,"Film, in rolls, non-perforated, width >105mm bu",86242,"Films in rolls, sensitized, unexposed"
370251,"Polychrome film, in rolls, width =<16mm and len",86242,"Films in rolls, sensitized, unexposed"
370252,"Polychrome film, in rolls, width =<16mm and len",86242,"Films in rolls, sensitized, unexposed"
370253,"Polychrome slide film, in rolls, width >16mm bu",86242,"Films in rolls, sensitized, unexposed"
370254,"Polychrome film, in rolls, width >16mm but =<35",86242,"Films in rolls, sensitized, unexposed"
370255,"Polychrome film, in rolls, width >16mm but =<35",86242,"Films in rolls, sensitized, unexposed"
370256,"Polychrome film, in rolls, width >35mm",86242,"Films in rolls, sensitized, unexposed"
370291,"Film, in rolls, width =<16mm and length =<14m (",86242,"Films in rolls, sensitized, unexposed"
370292,"Film, in rolls, width =<16mm and length >14m (e",86242,"Films in rolls, sensitized, unexposed"
