HS 2017,BEC,Relationship
160250,122,n:1
160290,122,n:1
160300,121,n:1
160411,122,n:1
160412,122,n:1
160413,122,n:1
160414,122,n:1
160415,122,n:1
160416,122,n:1
160417,122,n:1
160418,122,n:1
160419,122,n:1
160420,122,n:1
160431,122,n:1
160432,122,n:1
160510,122,n:1
160521,122,n:1
160529,122,n:1
160530,122,n:1
160540,122,n:1
160551,122,n:1
160552,122,n:1
160553,122,n:1
160554,122,n:1
160555,122,n:1
160556,122,n:1
160557,122,n:1
160558,122,n:1
160559,122,n:1
160561,122,n:1
160562,122,n:1
160563,122,n:1
160569,122,n:1
170112,121,n:1
170113,121,n:1
170114,121,n:1
170191,121,n:1
170199,122,n:1
170211,121,n:1
170219,121,n:1
170220,122,n:1
170230,121,n:1
170240,121,n:1
170250,121,n:1
170260,121,n:1
170290,121,n:1
170310,121,n:1
170390,121,n:1
170410,122,n:1
170490,122,n:1
180100,111,n:1
180200,21,n:1
180310,121,n:1
180320,121,n:1
180400,121,n:1
180500,121,n:1
180610,122,n:1
180620,121,n:1
180631,122,n:1
180632,122,n:1
180690,122,n:1
190110,122,n:1
190120,122,n:1
190190,121,n:1
190211,122,n:1
190219,122,n:1
190220,122,n:1
190230,122,n:1
190240,122,n:1
190300,121,n:1
190410,122,n:1
190420,122,n:1
190430,122,n:1
190490,122,n:1
190510,122,n:1
190520,122,n:1
190531,122,n:1
190532,122,n:1
190540,122,n:1
190590,122,n:1
200110,122,n:1
200190,122,n:1
200210,122,n:1
200290,122,n:1
200310,122,n:1
200390,122,n:1
200410,122,n:1
200490,122,n:1
200510,122,n:1
200520,122,n:1
200540,122,n:1
200551,122,n:1
200559,122,n:1
200560,122,n:1
200570,122,n:1
200580,122,n:1
200591,122,n:1
200599,122,n:1
200600,122,n:1
200710,122,n:1
200791,122,n:1
200799,122,n:1
200811,122,n:1
200819,122,n:1
200820,122,n:1
200830,122,n:1
200840,122,n:1
200850,122,n:1
200860,122,n:1
200870,122,n:1
200880,122,n:1
200891,122,n:1
200893,122,n:1
200897,122,n:1
200899,122,n:1
200911,122,n:1
200912,122,n:1
200919,122,n:1
200921,122,n:1
200929,122,n:1
200931,122,n:1
200939,122,n:1
200941,122,n:1
200949,122,n:1
200950,122,n:1
200961,122,n:1
200969,122,n:1
200971,122,n:1
200979,122,n:1
200981,122,n:1
200989,122,n:1
200990,122,n:1
210111,122,n:1
210112,122,n:1
210120,122,n:1
210130,122,n:1
210210,121,n:1
210220,121,n:1
210230,121,n:1
210310,122,n:1
210320,122,n:1
210330,122,n:1
210390,122,n:1
210410,122,n:1
210420,122,n:1
210500,122,n:1
210610,122,n:1
210690,122,n:1
220110,122,n:1
220190,122,n:1
220210,122,n:1
220291,122,n:1
220299,122,n:1
220300,122,n:1
220410,122,n:1
220421,122,n:1
220422,122,n:1
220429,122,n:1
220430,121,n:1
220510,122,n:1
220590,122,n:1
220600,122,n:1
220710,22,n:1
220720,22,n:1
220820,122,n:1
220830,122,n:1
220840,122,n:1
220850,122,n:1
220860,122,n:1
220870,122,n:1
220890,122,n:1
220900,122,n:1
230110,22,n:1
230120,22,n:1
230210,121,n:1
230230,121,n:1
230240,121,n:1
230250,121,n:1
230310,21,n:1
230320,21,n:1
230330,21,n:1
230400,22,n:1
230500,22,n:1
230610,22,n:1
230620,22,n:1
230630,22,n:1
230641,22,n:1
230649,22,n:1
230650,22,n:1
230660,22,n:1
230690,22,n:1
230700,121,n:1
230800,21,n:1
230910,63,n:1
230990,22,n:1
240110,21,n:1
240120,21,n:1
240130,21,n:1
240210,63,n:1
240220,63,n:1
240290,63,n:1
240311,63,n:1
240319,63,n:1
240391,63,n:1
240399,22,n:1
250100,21,n:1
250200,21,n:1
250300,21,n:1
250410,21,n:1
250490,21,n:1
250510,21,n:1
250590,21,n:1
250610,21,n:1
250620,21,n:1
250700,21,n:1
250810,21,n:1
250830,21,n:1
250840,21,n:1
250850,21,n:1
250860,21,n:1
250870,21,n:1
250900,21,n:1
251010,21,n:1
251020,21,n:1
251110,21,n:1
251120,21,n:1
251200,21,n:1
251310,21,n:1
251320,21,n:1
251400,21,n:1
251511,21,n:1
251512,21,n:1
251520,21,n:1
251611,21,n:1
251612,21,n:1
251620,21,n:1
251690,21,n:1
251710,21,n:1
251720,21,n:1
251730,21,n:1
251741,21,n:1
251749,21,n:1
251810,21,n:1
251820,21,n:1
251830,21,n:1
251910,21,n:1
251990,21,n:1
252010,21,n:1
252020,22,n:1
252100,21,n:1
252210,22,n:1
252220,22,n:1
252230,22,n:1
252310,22,n:1
252321,22,n:1
252329,22,n:1
252330,22,n:1
252390,22,n:1
252410,21,n:1
252490,21,n:1
252510,21,n:1
252520,21,n:1
252530,21,n:1
252610,21,n:1
252620,21,n:1
252800,21,n:1
252910,21,n:1
252921,21,n:1
252922,21,n:1
252930,21,n:1
253010,21,n:1
253020,21,n:1
253090,21,n:1
260111,21,n:1
260112,21,n:1
260120,21,n:1
260200,21,n:1
260300,21,n:1
260400,21,n:1
260500,21,n:1
260600,21,n:1
260700,21,n:1
260800,21,n:1
260900,21,n:1
261000,21,n:1
261100,21,n:1
261210,21,n:1
261220,21,n:1
261310,21,n:1
261390,21,n:1
261400,21,n:1
261510,21,n:1
261590,21,n:1
261610,21,n:1
261690,21,n:1
261710,21,n:1
261790,21,n:1
261800,21,n:1
261900,21,n:1
262011,21,n:1
262019,21,n:1
262021,21,n:1
262029,21,n:1
262030,21,n:1
262040,21,n:1
262060,21,n:1
262091,21,n:1
262099,21,n:1
262110,21,n:1
262190,21,n:1
270111,31,n:1
270112,31,n:1
270119,31,n:1
270120,322,n:1
270210,31,n:1
270220,322,n:1
270300,31,n:1
270400,322,n:1
270500,322,n:1
270600,22,n:1
270710,22,n:1
270720,22,n:1
270730,22,n:1
270740,22,n:1
270750,22,n:1
270791,22,n:1
270799,22,n:1
270810,22,n:1
270820,22,n:1
270900,31,n:1
271012,32,n:1
271019,32,n:1
271020,32,n:1
271091,21,n:1
271099,21,n:1
271111,322,n:1
271112,322,n:1
271113,322,n:1
271114,322,n:1
271119,322,n:1
271121,31,n:1
271129,31,n:1
271210,22,n:1
271220,22,n:1
271290,22,n:1
271311,22,n:1
271312,22,n:1
271320,22,n:1
271390,22,n:1
271410,21,n:1
271490,21,n:1
271500,22,n:1
271600,322,n:1
280110,22,n:1
280120,22,n:1
280130,22,n:1
280200,22,n:1
280300,22,n:1
280410,22,n:1
280421,22,n:1
280429,22,n:1
280430,22,n:1
280440,22,n:1
280450,22,n:1
280461,22,n:1
280469,22,n:1
280470,22,n:1
280480,22,n:1
280490,22,n:1
280511,22,n:1
280512,22,n:1
280519,22,n:1
280530,22,n:1
280540,22,n:1
280610,22,n:1
280620,22,n:1
280700,22,n:1
280800,22,n:1
280910,22,n:1
280920,22,n:1
281000,22,n:1
281111,22,n:1
281112,22,n:1
281119,22,n:1
281121,22,n:1
281122,22,n:1
281129,22,n:1
281211,22,n:1
281212,22,n:1
281213,22,n:1
281214,22,n:1
281215,22,n:1
281216,22,n:1
281217,22,n:1
281219,22,n:1
281290,22,n:1
281310,22,n:1
281390,22,n:1
281410,22,n:1
281420,22,n:1
281511,22,n:1
281512,22,n:1
281520,22,n:1
281530,22,n:1
281610,22,n:1
281640,22,n:1
281700,22,n:1
281810,22,n:1
281820,22,n:1
281830,22,n:1
281910,22,n:1
281990,22,n:1
282010,22,n:1
282090,22,n:1
282110,22,n:1
282120,22,n:1
282200,22,n:1
282300,22,n:1
282410,22,n:1
282490,22,n:1
282510,22,n:1
282520,22,n:1
282530,22,n:1
282540,22,n:1
282550,22,n:1
282560,22,n:1
282570,22,n:1
282580,22,n:1
282590,22,n:1
282612,22,n:1
282619,22,n:1
282630,22,n:1
282690,22,n:1
282710,22,n:1
282720,22,n:1
282731,22,n:1
282732,22,n:1
282735,22,n:1
282739,22,n:1
282741,22,n:1
282749,22,n:1
282751,22,n:1
282759,22,n:1
282760,22,n:1
282810,22,n:1
282890,22,n:1
282911,22,n:1
282919,22,n:1
282990,22,n:1
283010,22,n:1
283090,22,n:1
283110,22,n:1
283190,22,n:1
283210,22,n:1
283220,22,n:1
283230,22,n:1
283311,22,n:1
283319,22,n:1
283321,22,n:1
283322,22,n:1
283324,22,n:1
283325,22,n:1
283327,22,n:1
283329,22,n:1
283330,22,n:1
283340,22,n:1
283410,22,n:1
283421,22,n:1
283429,22,n:1
283510,22,n:1
283522,22,n:1
283524,22,n:1
283525,22,n:1
283526,22,n:1
283529,22,n:1
283531,22,n:1
283539,22,n:1
283620,22,n:1
283630,22,n:1
283640,22,n:1
283650,22,n:1
283660,22,n:1
283691,22,n:1
283692,22,n:1
283699,22,n:1
283711,22,n:1
283719,22,n:1
283720,22,n:1
283911,22,n:1
283919,22,n:1
283990,22,n:1
284011,22,n:1
284019,22,n:1
284020,22,n:1
284030,22,n:1
284130,22,n:1
284150,22,n:1
284161,22,n:1
284169,22,n:1
284170,22,n:1
284180,22,n:1
284190,22,n:1
284210,22,n:1
284290,22,n:1
284310,22,n:1
284321,22,n:1
284329,22,n:1
284330,22,n:1
284390,22,n:1
284410,22,n:1
284420,22,n:1
284430,22,n:1
284440,22,n:1
284450,21,n:1
284510,22,n:1
284590,22,n:1
284610,22,n:1
284690,22,n:1
284700,22,n:1
284910,22,n:1
284920,22,n:1
284990,22,n:1
285000,22,n:1
285210,22,n:1
285290,22,n:1
285310,22,n:1
285390,22,n:1
290110,22,n:1
290121,22,n:1
290122,22,n:1
290123,22,n:1
290124,22,n:1
290129,22,n:1
290211,22,n:1
290219,22,n:1
290220,22,n:1
290230,22,n:1
290241,22,n:1
290242,22,n:1
290243,22,n:1
290244,22,n:1
290250,22,n:1
290260,22,n:1
290270,22,n:1
290290,22,n:1
290311,22,n:1
290312,22,n:1
290313,22,n:1
290314,22,n:1
290315,22,n:1
290319,22,n:1
290321,22,n:1
290322,22,n:1
290323,22,n:1
290329,22,n:1
290331,22,n:1
290339,22,n:1
290371,22,n:1
290372,22,n:1
290373,22,n:1
290374,22,n:1
290375,22,n:1
290376,22,n:1
290377,22,n:1
