HS - Combined  Product Code,HS - Combined  Product Description,SITC Revision 2 Product Code,SITC Revision 2 Product Description
854099,Other,77689,Parts of components of 776--
854110,"Diodes, other than photosensitive or light emitting diodes",7763,"Diodes,transistors and sim.semi-conductor devices"
854121,With a dissipation rate of less than 1 W,7763,"Diodes,transistors and sim.semi-conductor devices"
854129,Other,7763,"Diodes,transistors and sim.semi-conductor devices"
854130,"Thyristors, diacs and triacs, other than photosensitive devices",7763,"Diodes,transistors and sim.semi-conductor devices"
854140,"Photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes",7763,"Diodes,transistors and sim.semi-conductor devices"
854150,Other semiconductor devices,7763,"Diodes,transistors and sim.semi-conductor devices"
854160,Mounted piezoelectric crystals,77681,"Piezo-electric crystals,mounted"
854190,Parts,77689,Parts of components of 776--
854210,(2002-2006) Cards incorporating an electronic integrated circuit (smart cards),7764,Electronic microcircuits
854211,"(-1995) Monolithic integrated circuits, digital",7764,Electronic microcircuits
854212,(1996-2001) Monolithic digital integrated circuits,7764,Electronic microcircuits
854213,(1996-2001) Monolithic digital integrated circuits,7764,Electronic microcircuits
854214,(1996-2001) Monolithic digital integrated circuits,7764,Electronic microcircuits
854219,"(-2001) Monolithic digital integrated circuits :-- Other, ",7764,Electronic microcircuits
854220,(-1995) Hybrid integrated circuits,7764,Electronic microcircuits
854221,(2002-2006) Digital,7764,Electronic microcircuits
854229,(2002-2006) Other,7764,Electronic microcircuits
854230,(1996-2001) Other monolithic integrated circuits,7764,Electronic microcircuits
854240,(1996-2001) Hybrid integrated circuits,7764,Electronic microcircuits
854250,(1996-2001) Electronic microassemblies,7764,Electronic microcircuits
854260,(2002-2006) Hybrid integrated circuits,7764,Electronic microcircuits
854270,(2002-2006) Electronic microassemblies,7764,Electronic microcircuits
854280,(-1995) Electronic integrated circuits and microas,7764,Electronic microcircuits
854290,Parts,77689,Parts of components of 776--
854310,"(-1995, 2007-) Particle accelerators",77885,Particle accelerators and parts
854311,(1996-2006) Ion implanters for doping semiconductor materials,77885,Particle accelerators and parts
