HS 1988/92 Product Code,HS 1988/92 Product Description,ISIC Revision 3 Product Code,ISIC Revision 3 Product Description
080212,"Almonds without shells, fresh or dried",0113,"Growing of fruit, nuts, beverage and spice crops"
080221,"Hazlenuts in shell, fresh or dried",0113,"Growing of fruit, nuts, beverage and spice crops"
080222,"Hazlenuts without shells, fresh or dried",0113,"Growing of fruit, nuts, beverage and spice crops"
080231,"Walnuts in shell, fresh or dried",0113,"Growing of fruit, nuts, beverage and spice crops"
080232,"Walnuts without shells, fresh or dried",0113,"Growing of fruit, nuts, beverage and spice crops"
080240,"Chestnuts, fresh or dried",0113,"Growing of fruit, nuts, beverage and spice crops"
080250,"Pistachio, fresh or dried",0113,"Growing of fruit, nuts, beverage and spice crops"
080290,"Other nuts, fresh or dried, nes",0113,"Growing of fruit, nuts, beverage and spice crops"
080300,"Bananas, including plantains, fresh or dried",0113,"Growing of fruit, nuts, beverage and spice crops"
080410,"Dates, fresh or dried",0113,"Growing of fruit, nuts, beverage and spice crops"
080420,"Figs, fresh or dried",0113,"Growing of fruit, nuts, beverage and spice crops"
080430,"Pineapples, fresh or dried",0113,"Growing of fruit, nuts, beverage and spice crops"
080440,"Avocados, fresh or dried",0113,"Growing of fruit, nuts, beverage and spice crops"
080450,"Guavas, mangoes and mangosteens, fresh or dried",0113,"Growing of fruit, nuts, beverage and spice crops"
080510,"Oranges, fresh or dried",0113,"Growing of fruit, nuts, beverage and spice crops"
080520,"Mandarins, clementines, wilkings...etc, fresh o",0113,"Growing of fruit, nuts, beverage and spice crops"
080530,"Lemons and limes, fresh or dried",0113,"Growing of fruit, nuts, beverage and spice crops"
080540,"Grapefruit, fresh or dried",0113,"Growing of fruit, nuts, beverage and spice crops"
080590,"Citrus fruit, fresh or dried, nes",0113,"Growing of fruit, nuts, beverage and spice crops"
080610,Fresh grapes,0113,"Growing of fruit, nuts, beverage and spice crops"
080620,Dried grapes,0113,"Growing of fruit, nuts, beverage and spice crops"
080710,"Melons and watermelons, fresh",0113,"Growing of fruit, nuts, beverage and spice crops"
080720,"Papaws (papayas), fresh",0113,"Growing of fruit, nuts, beverage and spice crops"
080810,"Apples, fresh",0113,"Growing of fruit, nuts, beverage and spice crops"
080820,"Pears and quinces, fresh",0113,"Growing of fruit, nuts, beverage and spice crops"
080910,"Apricots, fresh",0113,"Growing of fruit, nuts, beverage and spice crops"
080920,"Cherries, fresh",0113,"Growing of fruit, nuts, beverage and spice crops"
080930,"Peaches, including nectarines, fresh",0113,"Growing of fruit, nuts, beverage and spice crops"
080940,"Plums and sloes, fresh",0113,"Growing of fruit, nuts, beverage and spice crops"
081010,"Strawberries, fresh",0113,"Growing of fruit, nuts, beverage and spice crops"
081020,"Raspberries, blackberries, mulberries and logan",0113,"Growing of fruit, nuts, beverage and spice crops"
081030,"Black, white or red currants and gooseberries,",0113,"Growing of fruit, nuts, beverage and spice crops"
081040,"Cranberries, milberries...etc, fresh",0113,"Growing of fruit, nuts, beverage and spice crops"
081090,"Other fruit, fresh, nes",0113,"Growing of fruit, nuts, beverage and spice crops"
081110,"Strawberries, frozen",1513,Processing and preserving of fruit and vegetables
081120,"Raspberries, blackberries...etc, frozen",1513,Processing and preserving of fruit and vegetables
081190,"Other fruit and nuts, frozen, nes",1513,Processing and preserving of fruit and vegetables
081210,"Cherries, provisionally preserved, not for imme",1513,Processing and preserving of fruit and vegetables
081220,"Strawberries, provisionally preserved, not for",1513,Processing and preserving of fruit and vegetables
081290,"Fruit and nuts, provisionally preserved, not fo",1513,Processing and preserving of fruit and vegetables
081310,Dried apricots,0113,"Growing of fruit, nuts, beverage and spice crops"
081320,Dried prunes,0113,"Growing of fruit, nuts, beverage and spice crops"
081330,Dried apples,0113,"Growing of fruit, nuts, beverage and spice crops"
081340,"Other dried fruit, nes",0113,"Growing of fruit, nuts, beverage and spice crops"
081350,"Mixtures of dried fruit and nuts, nes",0113,"Growing of fruit, nuts, beverage and spice crops"
081400,"Peel of citrus fruit or melons, fresh, frozen,",1513,Processing and preserving of fruit and vegetables
090111,"Coffee, not roasted or decaffeinated",0113,"Growing of fruit, nuts, beverage and spice crops"
090112,"Decaffeinated coffee, not roasted",1549,Manufacture of other food products n.e.c.
090121,"Roasted coffee, not decaffeinated",1549,Manufacture of other food products n.e.c.
090122,"Roasted, decaffeinated coffee",1549,Manufacture of other food products n.e.c.
090130,Coffee husks and skins,9999,Goods not elsewhere classified
