HS 1996 Product Code,HS 1996 Product Description,ISIC Revision 2 Product Code,ISIC Revision 2 Product Description
080290,Other,1110,Agricultural and livestock production
080300,"Bananas, including plantains, fresh or dried.",1110,Agricultural and livestock production
080410,Dates,1110,Agricultural and livestock production
080420,Figs,1110,Agricultural and livestock production
080430,Pineapples,1110,Agricultural and livestock production
080440,Avocados,1110,Agricultural and livestock production
080450,"Guavas, mangoes and mangosteens",1110,Agricultural and livestock production
080510,Oranges,1110,Agricultural and livestock production
080520,"Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids",1110,Agricultural and livestock production
080530,"Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia)",1110,Agricultural and livestock production
080540,Grapefruit,1110,Agricultural and livestock production
080590,Other,1110,Agricultural and livestock production
080610,Fresh,1110,Agricultural and livestock production
080620,Dried,1110,Agricultural and livestock production
080711,Melons (including watermelons) :-- Watermelons,1110,Agricultural and livestock production
080719,Melons (including watermelons) :-- Other,1110,Agricultural and livestock production
080720,Papaws (papayas),1110,Agricultural and livestock production
